type	period	total
original	1	7
original	2	8
original	3	7
original	4	12
original	5	11
original	6	12
original	7	12
original	8	6
original	9	4
original	10	33
original	11	7
original	12	8
original	13	7
original	14	7
original	15	3
original	16	2
original	17	7
original	18	16
original	19	30
original	20	11
original	21	10
original	22	16
original	23	6
original	24	14
original	25	33
original	26	7
original	27	7
original	28	5
original	29	4
original	30	12
original	31	11
original	32	5
original	33	9
original	34	7
original	35	18
original	36	19
original	37	5
original	38	3
original	39	2
original	40	6
original	41	2
original	42	12
original	43	5
original	44	5
original	45	6
original	46	7
original	47	11
original	48	15
original	49	18
original	50	17
original	51	9
original	52	12
original	53	7
original	54	8
original	55	20
original	56	7
original	57	8
original	58	20
original	59	1
original	60	6
original	61	8
original	62	6
original	63	1
original	64	5
original	65	1
original	66	2
original	67	7
original	68	5
original	69	8
original	70	6
original	71	9
original	72	6
original	73	8
original	74	7
original	75	7
original	76	18
original	77	16
original	78	19
original	79	23
original	80	26
original	81	19
original	82	40
original	83	16
original	84	23
original	85	20
original	86	8
original	87	8
original	88	8
original	89	2
original	90	6
original	91	6
original	92	4
original	93	8
original	94	4
original	95	8
original	96	8
original	97	13
original	98	15
original	99	28
original	100	14
original	101	4
original	102	8
original	103	5
original	104	16
original	105	11
original	106	2
original	107	6
original	108	9
original	109	4
original	110	5
original	111	2
original	112	8
original	113	1
original	114	1
original	115	3
original	116	3
original	117	6
original	118	34
original	119	15
original	120	8
original	121	10
original	122	11
original	123	10
original	124	12
original	125	11
original	126	5
original	127	12
original	128	1
original	129	11
original	130	10
original	131	14
original	132	4
original	133	9
original	134	2
original	135	3
original	136	5
original	137	3
original	138	6
original	139	2
original	140	3
original	141	5
original	142	5
original	143	3
original	144	9
original	145	19
original	146	5
original	147	16
original	148	12
original	149	23
original	150	2
original	151	11
original	152	12
original	153	10
original	154	19
original	155	22
original	156	10
original	157	8
original	158	7
original	159	3
original	160	7
original	161	4
original	162	2
original	163	11
original	164	9
original	165	14
original	166	8
original	167	32
original	168	14
original	169	34
original	170	22
original	171	23
original	172	20
original	173	25
original	174	37
original	175	20
original	176	26
original	177	30
original	178	20
original	179	40
original	180	32
original	181	20
original	182	42
original	183	29
original	184	20
original	185	23
original	186	24
original	187	23
original	188	28
original	189	50
original	190	87
original	191	111
original	192	99
original	193	138
original	194	151
original	195	127
original	196	114
original	197	86
original	198	71
original	199	65
original	200	75
original	201	65
original	202	49
original	203	43
original	204	39
original	205	26
original	206	16
original	207	4
original	208	4
original	209	7
original	210	21
original	211	10
original	212	17
original	213	39
rts	1	17
rts	2	27
rts	3	14
rts	4	13
rts	5	23
rts	6	8
rts	7	21
rts	8	18
rts	9	10
rts	10	48
rts	11	22
rts	12	14
rts	13	18
rts	14	10
rts	15	3
rts	16	3
rts	17	6
rts	18	7
rts	19	3
rts	20	6
rts	21	5
rts	22	1
rts	23	24
rts	24	22
rts	25	26
rts	26	15
rts	27	16
rts	28	6
rts	29	5
rts	30	15
rts	31	19
rts	32	38
rts	33	28
rts	34	13
rts	35	27
rts	36	37
rts	37	8
rts	38	11
rts	39	9
rts	40	8
rts	41	3
rts	42	1
rts	43	2
rts	44	4
rts	45	9
rts	46	11
rts	47	22
rts	48	12
rts	49	9
rts	50	26
rts	51	29
rts	52	12
rts	53	14
rts	54	15
rts	55	39
rts	56	16
rts	57	16
rts	58	27
rts	59	16
rts	60	7
rts	61	7
rts	62	4
rts	63	5
rts	64	5
rts	65	2
rts	66	3
rts	67	3
rts	68	2
rts	69	11
rts	70	8
rts	71	8
rts	72	6
rts	73	3
rts	74	3
rts	75	10
rts	76	3
