type	period	total
original	1	14
original	2	14
original	3	6
original	4	17
original	5	21
original	6	21
original	7	17
original	8	14
original	9	6
original	10	26
original	11	11
original	12	15
original	13	15
original	14	15
original	15	1
original	16	7
original	17	3
original	18	2
original	19	3
original	20	7
original	21	0
original	22	14
original	23	7
original	24	11
original	25	21
original	26	10
original	27	4
original	28	7
original	29	6
original	30	12
original	31	12
original	32	7
original	33	16
original	34	5
original	35	19
original	36	52
original	37	13
original	38	5
original	39	2
original	40	2
original	41	4
original	42	26
original	43	2
original	44	3
original	45	7
original	46	6
original	47	11
original	48	15
original	49	22
original	50	24
original	51	13
original	52	16
original	53	11
original	54	5
original	55	18
original	56	7
original	57	7
original	58	10
original	59	9
original	60	8
original	61	4
original	62	7
original	63	3
original	64	2
original	65	0
original	66	4
original	67	2
original	68	1
original	69	4
original	70	7
original	71	8
original	72	3
original	73	6
original	74	8
original	75	15
original	76	13
original	77	25
original	78	24
original	79	27
original	80	29
original	81	33
original	82	32
original	83	18
original	84	35
original	85	20
original	86	13
original	87	7
original	88	5
original	89	3
original	90	5
original	91	1
original	92	2
original	93	3
original	94	7
original	95	7
original	96	9
original	97	12
original	98	31
original	99	38
original	100	43
original	101	11
original	102	10
original	103	7
original	104	5
original	105	21
original	106	10
original	107	15
original	108	10
original	109	3
original	110	2
original	111	8
original	112	2
original	113	1
original	114	6
original	115	1
original	116	2
original	117	7
original	118	39
original	119	16
original	120	16
original	121	14
original	122	17
original	123	12
original	124	10
original	125	14
original	126	9
original	127	21
original	128	6
original	129	19
original	130	14
original	131	5
original	132	6
original	133	7
original	134	2
original	135	3
original	136	3
original	137	1
original	138	0
original	139	1
original	140	7
original	141	5
original	142	6
original	143	2
original	144	11
original	145	11
original	146	18
original	147	15
original	148	15
original	149	26
original	150	8
original	151	14
original	152	11
original	153	6
original	154	21
original	155	48
original	156	10
original	157	9
original	158	1
original	159	6
original	160	1
original	161	2
original	162	2
original	163	6
original	164	4
original	165	5
original	166	5
original	167	16
original	168	8
original	169	31
original	170	27
original	171	10
original	172	16
original	173	8
original	174	11
original	175	10
original	176	11
original	177	20
original	178	6
original	179	22
original	180	9
original	181	11
original	182	7
original	183	2
original	184	5
original	185	8
original	186	5
original	187	5
original	188	3
original	189	14
original	190	20
original	191	41
original	192	78
original	193	39
original	194	34
original	195	61
original	196	64
original	197	61
original	198	46
original	199	53
original	200	58
original	201	37
original	202	34
original	203	38
original	204	21
original	205	21
original	206	21
original	207	5
