type	period	total
original	1	84
original	2	102
original	3	116
original	4	102
original	5	92
original	6	131
original	7	42
original	8	30
original	9	46
original	10	58
original	11	22
original	12	72
original	13	54
original	14	18
original	15	19
original	16	25
original	17	30
original	18	38
original	19	80
original	20	21
original	21	53
original	22	88
original	23	52
original	24	60
original	25	108
original	26	50
original	27	121
original	28	151
original	29	109
original	30	129
original	31	157
original	32	88
original	33	119
original	34	163
original	35	102
original	36	104
original	37	119
original	38	72
original	39	85
original	40	112
original	41	50
original	42	63
original	43	106
original	44	80
original	45	73
original	46	131
original	47	79
original	48	101
original	49	144
original	50	117
original	51	90
original	52	132
original	53	73
original	54	83
original	55	150
original	56	93
original	57	83
original	58	143
original	59	73
original	60	83
original	61	156
original	62	83
original	63	61
original	64	108
original	65	87
original	66	59
original	67	123
original	68	111
original	69	77
original	70	126
original	71	101
original	72	94
original	73	120
original	74	144
original	75	110
original	76	171
original	77	104
original	78	107
original	79	148
original	80	108
original	81	105
original	82	169
original	83	107
original	84	114
original	85	131
original	86	103
original	87	80
original	88	112
original	89	107
original	90	59
original	91	101
original	92	101
original	93	83
original	94	100
original	95	107
original	96	71
original	97	114
original	98	113
original	99	164
original	100	127
original	101	90
original	102	129
original	103	86
original	104	98
original	105	174
original	106	83
original	107	63
original	108	123
original	109	120
original	110	94
original	111	128
original	112	106
original	113	58
original	114	89
original	115	97
original	116	59
original	117	101
original	118	138
original	119	100
original	120	111
original	121	131
original	122	136
original	123	153
original	124	154
original	125	135
original	126	120
original	127	109
original	128	92
original	129	127
original	130	179
original	131	127
original	132	100
original	133	133
original	134	76
original	135	76
original	136	35
original	137	23
original	138	31
original	139	29
original	140	24
original	141	34
original	142	77
original	143	49
original	144	64
original	145	104
original	146	65
original	147	74
original	148	120
original	149	103
original	150	60
original	151	90
original	152	103
original	153	112
original	154	118
original	155	224
original	156	113
original	157	61
original	158	87
original	159	50
original	160	135
original	161	129
original	162	54
original	163	91
original	164	148
original	165	103
original	166	42
original	167	66
original	168	41
original	169	58
original	170	54
original	171	63
original	172	38
original	173	48
original	174	48
original	175	45
original	176	75
original	177	33
original	178	39
original	179	98
original	180	38
original	181	32
original	182	63
original	183	42
original	184	14
original	185	26
original	186	30
original	187	32
original	188	41
original	189	91
original	190	167
original	191	229
original	192	220
original	193	223
original	194	255
original	195	206
original	196	228
original	197	243
original	198	177
original	199	138
original	200	156
original	201	136
original	202	105
original	203	94
original	204	137
original	205	58
original	206	41
original	207	21
original	208	7
original	209	5
original	210	26
original	211	10
original	212	15
original	213	67
rts	1	109
rts	2	98
rts	3	110
rts	4	68
rts	5	79
rts	6	32
rts	7	65
rts	8	70
rts	9	49
rts	10	88
rts	11	32
rts	12	79
rts	13	97
rts	14	34
rts	15	18
rts	16	18
rts	17	50
rts	18	25
rts	19	27
rts	20	28
rts	21	46
rts	22	53
rts	23	99
